Case #1: 1000
17 11 31919
39 41 28852
8 30 63126
4 36 105203
43 26 35199
24 35 92897
38 11 60786
13 41 81214
18 38 75464
37 17 46797
9 8 97403
12 16 110841
16 37 109456
3 32 105577
15 4 73307
29 46 109337
14 36 136648
42 28 123162
36 30 3595
6 14 139752
7 22 111434
40 3 91290
44 4 81839
23 35 143488
36 2 86725
26 30 91676
17 22 85918
11 9 60321
3 46 93357
34 13 95592
43 22 87640
34 3 72548
13 11 70656
15 5 31179
35 43 92634
38 30 60774
36 6 71265
10 9 83448
23 36 86072
17 46 92622
18 45 52118
20 2 117223
21 27 64100
36 37 44517
18 6 56304
4 30 106159
35 37 58913
17 13 94808
7 13 117719
31 29 104365
21 28 44442
26 41 78878
39 35 36031
24 17 80781
26 22 119631
40 38 98940
4 24 74587
9 44 101746
41 40 48943
17 14 100650
10 26 88759
19 40 54213
38 34 95779
17 40 90555
4 14 157368
28 24 78068
26 17 52466
16 44 136979
7 1 197077
32 9 133244
37 21 7399
11 8 37082
7 38 105987
10 6 64753
41 20 71461
21 11 7479
20 17 90726
42 12 127926
34 17 71813
21 18 7199
6 16 58633
2 45 79922
40 12 79696
13 48 122256
14 35 112766
48 43 63529
29 27 87885
9 7 113665
20 39 55814
34 22 64137
39 22 84299
21 10 15648
17 42 81680
11 30 26044
45 8 56798
10 38 79012
11 48 81257
25 48 90460
18 31 45097
21 29 83292
45 14 144449
8 46 97785
34 37 25016
19 22 49576
3 8 69736
20 31 104184
32 45 20525
46 31 106080
7 20 104008
28 14 143972
27 10 79748
11 34 39894
6 22 95625
29 41 64699
20 42 145006
20 16 127230
22 9 114320
22 38 109884
10 12 51526
33 41 51136
21 8 29603
4 40 21479
15 13 81919
30 35 70079
36 39 62549
29 34 84411
23 16 194031
26 15 81763
36 35 73674
37 22 39121
5 45 100952
45 25 100106
38 33 44868
30 34 65938
15 30 58377
9 14 156721
10 7 80562
47 20 99408
24 3 81516
23 10 76326
22 25 114571
42 9 146520
26 47 106825
15 21 24854
17 5 79553
34 32 97859
35 18 58713
13 30 49042
38 1 91090
4 26 77178
37 26 80510
26 36 95271
39 43 91232
24 12 77261
35 41 63375
12 25 79520
34 7 97329
4 39 99274
27 19 61044
38 16 129209
11 24 48862
46 16 160962
44 6 78346
7 5 80662
38 47 97429
30 44 110326
33 5 79430
42 24 120103
16 4 148592
45 1 166896
38 42 146985
31 9 100414
29 7 74081
2 7 13215
18 10 22847
22 48 120298
45 43 86039
25 30 88719
16 13 140941
19 29 86348
29 43 55385
26 44 75059
33 44 97769
17 47 79206
23 43 133094
24 13 104560
7 30 96345
11 20 58807
19 38 71321
18 12 57875
4 10 73486
14 27 163630
20 13 13711
35 31 32487
17 44 99519
16 25 79682
6 46 102329
40 21 51157
35 40 102671
27 6 113205
26 39 96111
4 43 41979
7 24 56402
17 45 84317
29 45 107956
24 38 104747
1 14 212281
34 9 100215
41 28 16703
44 41 80224
7 37 72313
45 41 72658
5 21 56033
16 3 101077
40 5 43831
15 35 66260
26 7 11405
22 29 115014
24 22 73105
5 28 11591
1 24 173949
3 19 43189
11 22 53999
11 1 151876
40 18 58356
43 24 32608
14 42 178250
25 19 64995
43 32 92598
39 38 57793
6 34 81520
24 16 136221
14 21 99530
35 3 65692
32 28 92140
11 47 57395
46 32 118316
21 19 3056
31 23 129872
16 45 137690
26 3 66450
6 40 100262
42 34 111135
10 34 16767
22 2 118923
31 24 79281
1 42 224614
22 1 179086
39 42 129827
9 4 101961
33 40 74554
12 45 70208
11 27 71579
15 38 72367
25 4 68910
47 8 73407
26 32 113944
30 42 112243
25 33 46757
2 30 83130
9 43 108920
11 31 45377
13 42 141897
41 11 35218
29 10 67644
18 5 57120
10 43 56768
27 37 71499
40 36 88275
34 43 73535
3 41 58513
46 11 60703
3 29 65508
25 32 119529
1 17 142934
5 46 94903
32 31 103342
24 48 96137
46 30 34659
38 48 115521
8 5 57424
30 20 62753
41 19 24683
48 36 93766
26 35 64582
14 23 130264
18 44 73781
22 27 110620
6 32 99582
6 28 93547
23 44 159495
14 7 164444
9 21 67800
19 43 38064
29 4 97364
5 2 67447
32 11 72923
44 31 118878
29 6 62821
1 8 174869
37 20 68784
17 6 39102
7 32 102539
13 21 63177
43 40 63458
23 24 118559
11 6 41626
32 33 88841
42 18 85919
35 12 34130
16 15 77203
30 17 57963
24 19 44439
35 44 87403
47 34 82331
15 40 51828
35 17 12116
14 3 139663
41 22 74259
3 11 32654
19 42 81776
12 19 53732
43 6 47980
7 25 50725
18 3 47332
41 31 65637
13 27 89608
39 37 45178
20 14 155667
48 41 46039
18 16 103144
23 30 89667
48 9 107491
29 8 111710
13 23 138709
47 19 46860
32 24 98784
40 34 68774
32 21 65444
46 41 95921
44 40 103318
45 42 123639
42 25 141831
36 34 69533
48 32 62804
19 5 52977
14 5 155563
2 33 74334
2 24 69617
30 19 36579
24 27 105483
9 27 104373
37 14 92131
7 11 72393
13 25 103357
9 3 54629
1 26 185672
41 42 106459
27 32 70770
25 35 72267
15 37 32253
1 46 169566
3 22 86653
36 9 37872
38 14 153688
7 41 85774
33 4 96033
29 28 81402
3 27 104233
18 19 4143
48 39 74891
39 18 57678
20 6 68597
3 15 61398
47 39 56799
23 3 132107
16 14 198385
40 24 77742
4 21 72636
33 18 30596
31 3 78031
40 7 87252
23 19 95030
39 12 1901
12 46 91712
30 16 126303
21 7 64914
16 36 129898
48 42 137044
19 10 18704
33 20 42889
41 17 51259
38 25 91625
5 12 59047
13 12 63238
29 2 60866
38 13 11732
4 3 112769
41 38 69482
47 37 57315
2 47 100506
45 6 79057
2 3 91070
31 45 82817
46 27 132282
18 25 60852
11 45 52398
33 22 69917
35 11 44035
34 14 70705
34 12 68293
21 12 50676
31 13 101075
11 25 62675
23 8 121577
15 32 84618
18 1 152465
37 18 14598
3 43 81253
8 40 80760
44 42 159700
32 2 89324
1 21 147364
6 26 75422
7 19 61858
17 23 131372
17 38 92705
38 36 64369
19 17 42454
44 45 123481
25 1 172406
29 24 87993
46 2 48471
4 48 83055
37 19 10455
16 43 106613
30 22 80043
34 18 39614
6 31 83705
44 38 109165
6 35 51218
30 12 57053
46 48 55512
24 46 109565
14 31 137428
15 2 75444
48 3 104552
19 35 54570
35 1 130818
41 32 87503
46 19 71238
47 23 141890
36 29 98396
34 4 90253
47 15 25062
15 41 2885
12 17 46246
47 21 49916
42 5 134753
4 13 87196
13 5 83465
35 4 124150
36 28 81560
43 17 80518
39 31 68518
4 27 132801
36 1 155459
47 36 82115
1 5 151933
17 4 112034
28 39 45555
8 4 98304
28 47 44650
27 40 115257
33 13 56600
12 11 58155
5 3 86807
5 11 63512
7 45 93137
7 35 75987
21 33 23397
5 4 65310
20 12 57715
27 16 160045
10 45 60567
40 13 108675
39 11 60056
27 31 101998
40 25 90389
20 40 100919
10 40 52007
32 10 81092
27 44 103410
2 41 72559
10 1 148214
32 35 116958
48 16 126127
40 32 116601
13 44 116511
48 17 97298
5 9 68700
25 8 83256
3 47 86460
9 33 71365
27 38 77876
34 1 141576
29 32 128481
29 15 67584
36 22 83638
17 33 47837
42 6 120782
34 19 35471
22 35 98034
8 42 108323
8 31 67501
35 5 91669
34 33 55812
23 2 147879
24 39 79162
23 9 123944
11 42 86199
28 22 90962
22 42 125240
38 28 86185
12 27 114776
19 1 148322
30 48 90171
38 46 78476
27 35 115614
48 7 39735
46 45 113101
35 21 51514
4 2 78988
28 16 96791
46 23 124326
15 17 54144
35 45 96433
47 18 51003
9 17 80043
7 15 83656
11 14 107009
26 20 92603
33 37 30796
13 36 52637
1 9 117587
36 46 38254
17 16 97735
48 15 48924
7 31 102812
44 28 96927
25 9 118122
39 44 51372
46 13 66744
1 40 172582
18 9 74999
33 12 48298
8 43 56325
11 19 10535
23 22 123696
1 28 140342
1 37 139965
26 13 106314
13 2 115215
45 48 83329
37 10 8249
32 4 134577
11 40 58636
9 12 48473
43 21 41120
6 24 77588
22 46 114702
34 26 105526
47 42 128636
39 21 52577
37 32 72843
40 28 32240
19 44 77924
34 35 83929
28 13 95056
1 20 93069
46 15 93036
29 23 143970
19 4 75692
24 36 78501
33 1 135958
7 42 143634
7 16 130407
41 37 35138
26 23 165085
34 23 59559
21 48 73778
46 7 61686
38 5 95197
21 46 68182
10 46 83830
24 45 86302
10 47 65564
34 27 96515
2 18 70930
29 1 130634
22 18 53719
10 20 77033
11 28 51921
43 31 79018
46 43 85480
12 2 98614
9 24 109183
28 19 41386
33 36 45557
9 30 34277
28 48 29336
37 45 52318
9 2 100450
26 31 97069
31 12 66617
19 8 26547
11 23 99453
15 18 25941
4 23 149812
13 19 60121
12 37 43277
26 33 49714
14 10 87472
25 29 41772
38 2 119202
26 27 110580
45 34 77334
8 24 70986
12 47 58700
44 29 15525
11 15 32333
41 18 28826
16 1 203727
35 42 93796
17 21 39398
40 42 129877
45 47 94835
23 42 170694
40 39 77795
34 28 76857
33 23 115371
30 45 78442
40 45 96076
20 4 100907
43 41 62747
16 35 109851
10 11 23127
3 13 39864
32 23 157418
45 27 91295
39 25 77619
31 33 61295
29 30 94801
45 3 85052
7 33 61119
7 39 107516
37 25 75450
33 43 64517
12 8 80279
44 11 88459
44 22 127500
36 42 115838
31 30 71421
19 9 70856
10 33 39045
26 19 73263
37 43 48519
21 44 80980
10 3 55781
18 17 46597
2 17 77086
24 18 48582
6 37 56504
47 14 149446
4 12 101175
48 1 169678
9 40 103051
8 14 129133
1 13 102822
20 22 107905
34 48 69674
4 37 65237
20 28 88164
34 46 100597
20 48 117500
40 16 129031
40 30 84680
36 15 61972
26 9 121079
14 26 153116
17 29 83994
36 11 29639
4 42 151356
39 1 94787
18 20 73485
36 41 64857
10 31 53546
36 25 92314
14 13 141956
23 15 116828
44 3 81033
48 29 87386
14 24 126115
1 15 126524
22 13 109697
31 17 44603
8 44 96185
22 32 111964
37 42 86119
30 39 58954
23 6 141079
6 1 161666
27 42 142820
8 41 51230
36 45 82037
34 15 57269
39 46 93613
37 24 33984
44 15 83109
19 32 62820
1 32 187421
21 36 37118
1 30 151864
18 29 89306
5 22 102553
16 11 100259
17 39 48147
40 31 89055
10 42 94368
28 23 136416
35 8 81117
33 11 15918
2 27 127831
32 18 58677
45 23 136893
42 15 103574
2 40 88096
33 48 97175
12 6 74006
48 40 61576
5 29 92993
8 26 91524
29 12 37748
6 3 42444
5 10 71681
21 16 102057
23 48 129233
23 12 127852
15 25 86793
18 14 106729
28 46 83312
39 32 92634
34 2 88320
16 9 155706
38 9 26497
31 2 96524
48 47 73986
16 41 80088
28 45 89361
20 25 89646
40 23 128333
15 27 82842
39 29 35847
33 28 67839
48 19 70722
46 37 75581
7 12 109417
44 48 102911
28 10 60090
47 46 113179
31 38 106163
6 8 78708
29 14 155116
8 2 93334
29 16 121454
15 33 48251
20 15 74346
10 13 78825
43 20 107406
12 14 135408
5 26 73766
32 47 109680
15 10 40502
15 14 124384
39 8 80082
22 47 96436
36 19 40174
46 26 73091
20 38 1979
46 20 80455
39 19 53535
2 26 24620
8 17 69001
31 4 110534
19 15 21798
41 1 123639
32 14 164974
31 25 104754
17 28 67962
26 40 94415
16 42 179415
36 27 101218
31 28 82340
21 2 78129
14 48 140379
16 31 139955
4 22 104358
46 25 112411
30 28 77965
4 7 65773
37 23 84575
46 35 104738
48 31 111676
28 3 75216
9 41 79226
2 44 76391
31 47 87814
41 30 61262
8 28 67933
27 25 117753
35 20 91845
19 31 40954
10 44 83169
48 18 74865
10 39 53427
43 36 78238
21 41 27739
12 43 91796
17 7 63871
13 37 70576
42 2 156849
18 4 75900
11 37 14878
15 8 48345
29 38 93640
15 39 31737
8 32 36273
10 22 47370
Case #2: Impossible
Case #3: 435
32 12 162129
12 10 52886
18 30 219364
31 8 112831
3 27 131782
21 23 62562
15 24 169857
23 10 108670
29 11 68454
4 14 80601
13 22 175231
15 20 128001
9 5 77127
26 6 71996
7 32 127719
20 23 189742
1 9 132312
31 6 36372
28 25 175019
9 30 119478
21 14 133741
3 6 63341
13 17 98623
20 24 162272
10 22 204973
17 18 316182
20 4 60208
1 22 230744
16 20 130215
21 2 125823
13 31 57589
15 19 69026
13 26 93213
7 27 100924
32 30 101698
20 26 140377
17 25 163554
30 12 90819
7 1 134209
30 13 110109
19 9 145054
9 13 90270
18 16 234525
24 17 187618
13 29 63707
13 12 57757
6 17 143491
10 3 114300
15 23 197327
4 23 129534
6 22 154014
14 26 79844
21 6 125893
9 20 98967
16 23 134069
27 25 193118
26 30 88144
19 29 91992
23 28 145590
29 3 67364
23 18 268910
2 9 103260
5 28 71892
11 24 125609
26 21 125145
22 31 117642
2 3 97548
26 22 82018
4 21 160179
16 19 191998
16 25 174681
6 15 113062
29 15 144569
19 23 180162
18 13 224433
2 26 678
28 8 125918
18 31 166844
26 7 39513
18 1 274417
7 29 10007
32 1 210388
6 18 172691
6 32 160202
1 30 190618
29 1 144216
31 16 113902
5 11 64403
22 15 233601
16 4 150283
23 26 137690
10 2 123633
3 20 76934
26 29 49520
28 7 82825
21 5 107468
3 11 40271
14 20 60533
4 6 72753
24 5 94736
16 17 221021
31 26 35624
1 8 82963
8 4 109862
1 4 108687
9 14 38434
7 10 83442
26 25 123929
27 5 114982
31 4 70658
19 5 96043
3 14 71189
18 25 179285
20 31 104753
8 15 42069
25 21 103174
11 15 91338
22 12 155941
20 8 170070
15 7 134562
4 10 123712
16 21 71507
5 10 97500
14 25 132525
4 22 165808
15 3 84519
25 10 175636
18 24 271606
22 28 149752
3 28 32782
16 27 130275
8 13 122931
28 14 96657
4 11 23545
10 32 211161
28 32 142043
8 25 201136
24 31 104762
7 24 108651
19 18 252718
21 31 89521
23 29 108184
30 10 139851
25 7 92194
31 10 87331
27 12 70368
7 31 3889
11 8 133407
8 23 207119
18 20 225376
3 1 125413
27 22 222455
11 32 134554
20 11 51641
7 11 78461
5 17 166381
9 27 99027
22 2 82696
25 9 155263
13 14 67532
15 9 143648
23 5 112235
8 19 26957
15 12 114989
10 24 192093
17 1 82359
29 32 137726
16 30 108508
10 28 139768
27 8 207876
13 32 121055
14 1 109574
17 31 156212
21 15 227972
32 26 159454
18 11 249194
6 29 42490
9 22 184600
14 18 164843
16 12 79457
30 15 190971
19 3 137460
11 13 36614
11 6 96298
28 26 122338
13 28 29125
26 1 148726
8 17 165322
16 3 140871
10 11 147257
32 20 186195
19 28 136790
3 25 149551
16 26 149323
28 12 86882
17 21 245733
25 22 205947
25 13 145894
16 13 137214
32 14 168050
12 4 70826
17 3 94966
32 16 210206
4 32 134124
10 9 20373
22 20 193904
29 27 110931
30 22 153828
30 2 88822
1 11 132232
23 27 192213
17 19 192279
27 2 141115
25 4 158963
7 12 34410
31 15 138451
6 13 59684
13 24 88995
7 21 93410
6 10 50959
28 9 119395
4 5 80827
7 4 66769
6 2 72674
2 17 192514
7 2 40191
2 29 50198
19 25 174179
12 1 103653
27 14 60593
11 12 94371
23 22 179389
29 12 44417
6 7 32483
16 14 69682
24 14 148982
21 32 138699
30 11 134870
3 26 96870
3 32 117398
24 12 143061
7 18 170733
14 2 80522
28 1 124743
30 19 138394
8 26 148455
24 2 69816
7 17 152323
13 3 3657
28 30 139234
29 21 103417
15 26 174075
23 2 138368
30 25 66173
15 2 174753
17 14 151339
19 14 122316
12 6 1927
26 19 121498
17 23 207774
8 12 143352
2 1 148048
18 4 237502
23 9 129043
2 28 123016
17 11 135237
30 8 165351
8 9 172011
8 32 236661
27 1 170167
29 8 118949
9 31 66958
22 17 273854
8 24 211926
19 2 122176
28 11 7489
5 6 46541
24 28 118120
13 5 67758
10 17 194450
4 24 102064
16 6 77530
16 5 124071
30 21 37001
16 10 128489
27 15 165807
16 22 188334
23 14 131620
19 4 120734
31 14 44220
18 10 194877
23 7 98177
7 3 57357
2 13 93891
16 1 179256
27 24 209575
30 4 123178
24 1 169954
10 14 58807
20 7 100864
11 22 142263
12 21 127820
8 21 202352
21 1 227619
20 25 193058
29 30 66416
13 4 13069
8 14 147283
19 10 165427
18 5 184791
27 32 228643
25 11 170079
11 27 164739
23 1 232386
2 32 160132
15 17 123253
15 32 201917
10 26 122955
5 29 4051
23 12 132587
9 7 63069
5 8 123000
2 5 54249
7 8 108942
9 24 171720
27 13 128125
25 31 88305
10 21 171232
13 21 147110
23 31 102066
7 30 56409
20 17 171900
15 13 80862
19 13 133803
15 18 270057
9 11 126884
12 19 116395
8 16 216965
6 23 130660
1 13 121756
11 23 153079
6 14 7848
16 28 166339
3 23 112808
4 28 16056
12 9 32513
11 2 118652
5 30 70467
18 2 203146
16 11 173828
10 1 152685
12 17 141564
26 17 191836
17 29 162330
31 30 52520
20 13 73277
22 32 241472
25 15 226756
31 5 17947
11 19 144279
6 20 68381
6 1 101726
32 18 214810
30 6 88892
7 19 81985
20 28 44152
31 1 138098
3 31 61246
12 5 48468
31 19 85874
18 22 132120
9 4 103339
16 9 108116
20 5 114922
15 16 174896
8 18 279675
21 18 248947
22 19 203516
10 15 164021
21 22 116827
12 18 174618
20 10 119340
15 1 40894
5 15 148620
32 5 141777
12 26 73923
31 2 36302
20 19 180942
20 27 121126
30 23 99563
12 14 9775
19 24 190636
25 5 106252
25 24 193067
22 29 131538
9 17 174077
19 1 109920
21 11 171871
32 17 128029
25 32 35525
8 22 230473
26 27 140437
30 20 157273
19 27 182909
12 3 61414
3 22 178888
25 23 165736
30 17 208732
29 24 98787
20 1 168895
24 21 194283
6 25 124677
14 29 50338
3 5 71415
17 27 211932
15 4 67793
15 28 83849
18 29 180740
28 29 75943
12 25 126604
32 19 209704
27 10 119400
30 27 157333
15 14 105214
6 8 141425
21 3 150767
8 2 149133
2 16 148645
32 31 123830
26 9 102582
28 21 176235
16 24 218461
26 4 106282
13 10 110643
29 10 93449
Case #4: 912
6 30 137930
11 44 111811
12 3 64467
38 45 192426
45 10 142395
24 19 178400
6 13 82589
17 10 66522
27 15 91435
35 24 73385
25 44 90748
26 30 152805
38 36 134800
35 31 49275
47 43 91148
19 21 178240
30 46 129823
14 15 62445
18 45 159485
6 20 66911
41 28 166536
12 9 106186
4 24 124772
3 18 41896
17 22 113196
33 27 66201
26 5 107310
34 25 107687
10 40 39129
27 6 51375
25 27 77959
32 46 51758
34 7 128551
8 3 83565
13 2 107692
47 18 63699
42 18 123274
31 28 155385
14 7 89444
23 8 90828
2 41 86231
2 10 82673
11 35 19581
19 4 133260
27 20 86584
34 44 187686
24 5 126056
33 3 69853
20 14 108284
30 10 95022
45 28 140027
36 31 120962
17 44 184832
8 16 70805
20 35 96812
23 33 120778
22 12 78789
16 5 85252
19 29 210959
12 30 145884
46 31 70994
34 22 118889
26 3 65387
2 32 52718
22 8 42639
18 19 102349
40 26 132730
14 33 111636
13 37 85499
38 40 89160
30 31 131215
11 45 135896
30 21 141883
38 26 156630
2 14 52607
6 16 100765
36 13 122786
27 17 134420
27 1 127159
6 5 135719
43 35 81994
6 19 107122
14 24 86580
34 47 82203
36 9 139760
25 35 55635
16 24 53662
35 12 84569
7 3 126864
2 46 104476
20 19 161932
33 22 72589
21 37 76335
44 40 79181
2 31 118866
36 8 141590
32 7 62033
1 45 201656
47 37 90292
6 9 54538
3 28 167066
47 42 106279
4 1 61808
44 15 153785
5 1 169993
29 37 104268
44 23 88545
41 44 211039
7 10 91988
2 33 108588
16 28 99994
6 34 70096
12 4 97178
13 12 109504
36 43 76713
34 35 121356
23 43 25951
36 28 170779
34 28 172712
14 12 79820
34 4 24566
39 17 147292
22 1 105935
38 24 110334
31 15 114431
46 37 82283
14 39 73143
38 42 155345
28 7 117142
43 13 93931
4 29 110244
27 21 76862
26 14 97468
36 37 112757
45 44 187979
9 15 72083
10 25 42553
40 22 72805
11 34 101775
1 3 97642
8 34 79021
42 34 122040
36 10 84769
17 46 101323
46 36 119570
44 20 145762
24 29 35979
20 47 48026
25 23 8546
20 12 94697
9 41 100526
1 29 162959
40 16 100971
15 8 113929
41 31 138898
19 15 113881
24 27 90315
23 26 83542
45 42 83233
15 43 97534
28 32 111261
45 3 177029
20 37 79166
23 28 120017
8 19 180991
24 44 138232
34 45 158251
47 26 87190
32 44 135267
40 5 140759
44 47 174989
47 5 116834
26 43 109493
7 26 132569
34 41 116084
4 2 112686
2 37 49805
27 44 157958
35 16 84204
2 36 90474
5 27 84911
27 34 97665
37 30 93973
33 28 172841
14 47 114612
42 37 73316
10 11 6499
29 26 85119
36 7 59761
16 46 96643
40 33 128957
39 20 93103
19 2 144427
42 10 105314
41 11 114480
19 11 132591
36 6 142339
4 17 150230
40 23 90228
37 12 92595
42 27 80734
18 24 133736
3 36 132643
1 13 97278
13 3 72893
32 9 109673
5 44 168749
5 34 127384
40 37 86611
31 9 100221
19 44 199460
17 20 150252
24 21 107164
13 23 89116
9 13 117735
36 20 107979
20 3 69829
19 39 168720
26 33 132117
13 10 38017
2 43 13761
1 20 117611
5 15 101921
25 3 90427
27 22 21224
14 27 45435
19 1 178178
37 5 81760
2 30 68692
30 20 125575
5 14 39476
16 38 121153
26 25 74996
4 42 98972
8 20 107999
12 16 57503
37 24 82897
10 19 126092
4 41 109534
39 13 105789
23 47 105243
9 8 63463
9 19 142268
12 27 100013
40 28 158321
8 32 59358
2 12 77192
4 21 89084
12 34 94020
35 42 118396
4 47 57637
16 32 44885
11 20 77231
45 35 155477
12 11 77986
13 35 51099
9 27 82107
15 16 91606
24 2 33973
42 32 76229
38 9 142747
45 24 93695
27 13 92917
9 14 127542
25 37 70541
5 46 136431
29 36 160426
25 16 28569
14 37 52853
7 44 137572
14 36 93102
29 13 128717
2 47 104909
47 16 85220
31 25 78746
3 21 106887
44 3 153186
31 14 115787
45 7 96559
40 24 99432
38 10 50031
30 18 129314
3 22 81550
18 13 92073
39 45 128830
46 40 60932
8 41 89332
34 23 99141
16 39 62262
34 31 115779
33 24 141680
37 27 7418
15 12 34103
44 22 136734
45 25 107980
7 9 112993
19 5 197462
47 11 63178
46 33 128188
19 45 204149
32 34 125231
45 32 112440
30 13 133039
39 40 106901
19 28 204985
3 2 117549
5 42 105086
16 45 79411
5 31 150821
31 39 98689
20 33 89822
36 27 120175
23 14 59432
41 29 156183
17 33 159909
21 32 98387
4 37 80517
2 26 123254
7 31 128181
43 20 43122
46 15 100041
42 44 151768
26 46 128402
46 18 111573
32 19 141848
25 30 116950
19 41 226414
46 7 113791
45 6 167333
37 16 41972
20 28 137188
2 42 23511
15 35 91320
16 10 71122
3 47 21803
18 10 89770
1 11 65760
43 12 63431
33 30 137689
25 29 118210
10 1 72259
13 45 167414
23 27 69413
46 8 82600
31 47 105870
9 33 43027
37 34 105083
36 12 71150
12 19 79778
21 47 85084
17 21 187310
44 4 174119
23 37 61995
21 15 110583
16 19 124738
2 38 132704
4 26 98098
47 7 114224
42 23 63223
8 40 86928
47 28 185214
44 2 128257
8 25 99374
13 31 74210
2 21 73191
30 36 159166
40 12 110616
38 3 97905
5 25 88750
24 25 82231
47 25 112230
43 5 90192
23 5 80204
25 12 28934
26 12 46062
24 6 117873
41 16 102471
11 29 97199
15 45 171017
1 25 111160
41 40 147110
14 8 81686
17 47 136199
1 15 124883
26 34 122664
39 36 133047
3 23 98973
20 42 80394
5 28 168206
38 29 146313
24 12 111165
24 42 57484
31 24 96496
33 31 57194
22 38 96705
38 13 88048
31 38 86224
39 35 93852
33 4 34019
45 21 132913
8 33 87616
4 39 100807
34 20 62353
16 44 108568
28 43 94066
47 29 160377
35 38 36949
11 26 100100
5 41 142259
29 17 162804
41 1 171342
32 15 95195
30 42 92203
26 16 103565
16 3 107023
44 29 102253
2 16 19689
25 11 49052
28 4 183661
30 39 114263
32 27 37943
18 43 86002
2 7 36837
11 2 76174
33 13 131404
45 41 145953
40 47 95808
40 29 129829
5 17 181150
14 16 72296
47 24 129980
44 38 168341
34 15 87641
3 29 138574
15 11 71739
7 12 86507
12 29 131181
40 15 104369
14 22 66358
2 39 70095
12 8 121428
13 34 133293
31 18 125963
19 31 162285
46 47 91480
28 8 142891
15 37 88398
31 29 132475
35 9 105798
24 22 69091
39 47 93097
11 14 73095
13 41 145998
31 37 78399
18 8 125461
28 6 172851
38 28 128924
43 9 89917
3 19 97426
47 32 86634
6 38 107601
39 26 118582
26 19 125840
14 4 118534
33 11 99886
22 23 48189
29 10 96282
24 1 132562
10 37 60480
31 11 42692
45 30 128414
47 6 31499
38 18 139801
16 42 43200
20 16 37194
20 2 56883
25 2 48258
35 41 134061
21 23 73525
16 30 88381
4 38 133739
1 30 165478
7 6 117913
30 24 34719
1 16 134101
39 29 124558
22 47 103353
4 25 121566
42 25 71769
22 31 82867
46 39 102573
17 12 138009
46 10 34801
25 38 92584
21 22 81668
23 12 37480
25 15 63037
33 12 131197
39 5 87795
19 23 117258
8 43 64877
1 35 85341
7 4 122001
25 41 131040
27 18 102967
32 22 16719
13 5 139647
35 33 106469
13 42 130333
46 23 85900
45 23 99434
40 4 94938
34 24 113823
21 38 170819
11 39 74271
43 16 5928
21 44 162070
10 41 120979
44 9 183127
1 12 140094
24 8 102001
10 44 118310
33 45 167323
22 41 74305
20 38 133761
15 33 97094
31 10 36193
20 5 68808
28 37 114058
6 40 83701
32 35 43037
2 5 92083
15 42 134806
47 1 119445
32 23 64908
20 7 66198
19 14 159598
4 16 92997
10 34 108274
36 41 173256
22 7 45314
44 13 143329
4 5 120834
33 37 58783
43 30 82453
23 18 60051
38 14 129625
1 23 119706
35 44 131392
17 40 105651
12 38 121518
22 29 90462
14 13 104613
27 4 73099
9 24 115764
28 25 128563
24 10 60303
6 26 75083
